id,dates,hour,psi
516,2017-12-22,12,20
517,2017-12-22,13,22
518,2017-12-22,14,26
519,2017-12-22,15,29
520,2017-12-22,16,33
521,2017-12-22,17,36
522,2017-12-22,18,36
523,2017-12-22,19,34
524,2017-12-22,20,30
525,2017-12-22,21,26
526,2017-12-22,22,23
527,2017-12-22,23,18
528,2017-12-23,0,15
529,2017-12-23,1,13
530,2017-12-23,2,12
531,2017-12-23,3,12
532,2017-12-23,4,13
533,2017-12-23,5,14
534,2017-12-23,6,14
535,2017-12-23,7,13
536,2017-12-23,8,12
537,2017-12-23,9,11
538,2017-12-23,10,10
539,2017-12-23,11,12
540,2017-12-23,12,14
541,2017-12-23,13,18
542,2017-12-23,14,22
543,2017-12-23,15,26
544,2017-12-23,16,26
545,2017-12-23,17,34
546,2017-12-23,18,34
547,2017-12-23,19,34
548,2017-12-23,20,44
549,2017-12-23,21,44
550,2017-12-23,22,40
551,2017-12-23,23,37
552,2017-12-24,0,33
553,2017-12-24,1,31
554,2017-12-24,2,26
555,2017-12-24,3,23
556,2017-12-24,4,21
557,2017-12-24,5,20
558,2017-12-24,6,19
559,2017-12-24,7,19
560,2017-12-24,8,18
561,2017-12-24,9,18
562,2017-12-24,10,18
563,2017-12-24,11,17
564,2017-12-24,12,16
565,2017-12-24,13,16
566,2017-12-24,14,16
567,2017-12-24,15,17
568,2017-12-24,16,17
569,2017-12-24,17,17
570,2017-12-24,18,17
571,2017-12-24,19,17
572,2017-12-24,20,17
573,2017-12-24,21,15
574,2017-12-24,22,14
575,2017-12-24,23,13
576,2017-12-25,0,12
577,2017-12-25,1,11
578,2017-12-25,2,10
579,2017-12-25,3,10
580,2017-12-25,4,10
581,2017-12-25,5,10
582,2017-12-25,6,11
583,2017-12-25,7,12
584,2017-12-25,8,12
585,2017-12-25,9,12
586,2017-12-25,10,13
587,2017-12-25,11,14
588,2017-12-25,12,16
589,2017-12-25,13,18
590,2017-12-25,14,20
591,2017-12-25,15,22
592,2017-12-25,16,24
593,2017-12-25,17,25
594,2017-12-25,18,27
595,2017-12-25,19,27
596,2017-12-25,20,25
597,2017-12-25,21,23
598,2017-12-25,22,20
599,2017-12-25,23,17
600,2017-12-26,0,15
601,2017-12-26,1,12
602,2017-12-26,2,9
603,2017-12-26,3,7
604,2017-12-26,4,6
605,2017-12-26,5,5
606,2017-12-26,6,6
607,2017-12-26,7,7
608,2017-12-26,8,7
609,2017-12-26,9,7
610,2017-12-26,10,8
611,2017-12-26,11,8
612,2017-12-26,12,10
613,2017-12-26,13,13
614,2017-12-26,14,16
615,2017-12-26,15,20
616,2017-12-26,16,22
617,2017-12-26,17,26
618,2017-12-26,18,28
619,2017-12-26,19,29
620,2017-12-26,20,28
621,2017-12-26,21,26
622,2017-12-26,22,22
623,2017-12-26,23,18
624,2017-12-27,0,16
625,2017-12-27,1,12
626,2017-12-27,2,11
627,2017-12-27,3,10
628,2017-12-27,4,10
629,2017-12-27,5,9
630,2017-12-27,6,9
631,2017-12-27,7,9
632,2017-12-27,8,8
633,2017-12-27,9,7
634,2017-12-27,10,7
635,2017-12-27,11,6
636,2017-12-27,12,8
637,2017-12-27,13,10
638,2017-12-27,14,13
639,2017-12-27,15,16
640,2017-12-27,16,19
641,2017-12-27,17,23
642,2017-12-27,18,25
643,2017-12-27,19,25
644,2017-12-27,20,23
645,2017-12-27,21,21
646,2017-12-27,22,19
647,2017-12-27,23,17
648,2017-12-28,0,14
649,2017-12-28,1,11
650,2017-12-28,2,8
651,2017-12-28,3,8
652,2017-12-28,4,9
653,2017-12-28,5,10
654,2017-12-28,6,10
655,2017-12-28,7,11
656,2017-12-28,8,11
657,2017-12-28,9,11
658,2017-12-28,10,12
659,2017-12-28,11,14
660,2017-12-28,12,15
661,2017-12-28,13,16
662,2017-12-28,14,19
663,2017-12-28,15,20
664,2017-12-28,16,21
665,2017-12-28,17,21
666,2017-12-28,18,21
667,2017-12-28,19,19
668,2017-12-28,20,16
669,2017-12-28,21,13
670,2017-12-28,22,11
671,2017-12-28,23,9
672,2017-12-29,0,7
673,2017-12-29,1,8
674,2017-12-29,2,8
675,2017-12-29,3,9
676,2017-12-29,4,10
677,2017-12-29,5,11
678,2017-12-29,6,11
679,2017-12-29,7,12
680,2017-12-29,8,11
681,2017-12-29,9,11
682,2017-12-29,10,10
683,2017-12-29,11,10
684,2017-12-29,12,11
685,2017-12-29,13,11
